,precision,recall,f1-score,support
AA0,0.9129625653138644,0.9399410464259396,0.9262554010384517,13570.0
AA1,0.9032099170839832,0.9159174159174159,0.9095192824370686,12012.0
AA2,0.4886731391585761,0.23854660347551343,0.3205944798301486,633.0
AW0,1.0,0.35294117647058826,0.5217391304347826,34.0
AW1,0.8484848484848485,0.835820895522388,0.8421052631578947,201.0
AY0,0.8885448916408669,0.767379679144385,0.8235294117647058,374.0
AY1,0.8733333333333333,0.9373881932021467,0.9042277825711821,1118.0
B,0.8740230740602903,0.9392121575684863,0.9054457831325301,5001.0
D,0.7526358475263585,0.5983236621534493,0.6666666666666666,1551.0
EH0,0.8430939226519337,0.7599601593625498,0.7993713986380304,1004.0
EH1,0.7939814814814815,0.8166666666666667,0.8051643192488263,840.0
ER0,1.0,0.6785714285714286,0.8085106382978723,28.0
EY1,0.0,0.0,0.0,34.0
F,0.8448275862068966,0.4016393442622951,0.5444444444444444,122.0
G,0.700709219858156,0.8151815181518152,0.7536231884057971,1818.0
H,0.8530405405405406,0.7582582582582582,0.8028616852146264,666.0
IH1,0.0,0.0,0.0,0.0
IY0,0.8461861735658752,0.8549893842887474,0.8505650015841166,4710.0
IY1,0.8514173998044966,0.8785555779705467,0.8647736298649722,4957.0
IY2,0.8787878787878788,0.19078947368421054,0.31351351351351353,152.0
JH,0.6186440677966102,0.7849462365591398,0.6919431279620853,93.0
K,0.925558835934205,0.9019728729963009,0.9136136552872606,4866.0
L,0.9089492816340661,0.9160851360781577,0.912503258319576,5732.0
M,0.9560527367159408,0.8526634598254053,0.9014031453055843,5613.0
N,0.8594370575030219,0.8980512450378925,0.8783199505867819,5542.0
NG,0.8792585170340681,0.914538822303283,0.896551724137931,3838.0
OW0,0.8504072010287184,0.8924876293297346,0.8709394205443372,2223.0
OW1,0.8832259871184542,0.9118242266551027,0.8972972972972973,3459.0
OW2,0.0,0.0,0.0,0.0
OY0,0.58,0.4264705882352941,0.4915254237288136,68.0
OY1,0.7368421052631579,0.7,0.717948717948718,100.0
P,0.8020833333333334,0.7294736842105263,0.7640573318632855,1900.0
R,0.9160671462829736,0.7427090084251459,0.8203292770221904,1543.0
S,0.9652413431269675,0.975089439512389,0.970140399446312,7547.0
T,0.8463611859838275,0.8991613826958478,0.8719627095110583,4889.0
UW0,0.8674890569040987,0.9163514081546869,0.8912510220768601,2379.0
UW1,0.8788898233809924,0.7798507462686567,0.8264136022143139,1340.0
UW2,0.0,0.0,0.0,0.0
V,0.7941176470588235,0.16167664670658682,0.26865671641791045,334.0
W,0.9437229437229437,0.9316239316239316,0.9376344086021505,936.0
Y,0.9492039423805914,0.932241250930752,0.9406461307287753,1343.0
Z,0.09090909090909091,0.06060606060606061,0.07272727272727272,33.0
accuracy,0.8857245889496409,0.8857245889496409,0.8857245889496409,0.8857245889496409
macro avg,0.7477707886336016,0.6668549146964696,0.6880660859993843,102603.0
weighted avg,0.8848378774202276,0.8857245889496409,0.8829692041120905,102603.0
