,False Positives,False Negatives,Support
AA0,1216,815,13570
AA1,1179,1010,12012
AA2,158,482,633
AW0,0,22,34
AW1,30,33,201
AY0,36,87,374
AY1,152,70,1118
B,677,304,5001
D,305,623,1551
EH0,142,241,1004
EH1,178,154,840
ER0,0,9,28
EY1,0,34,34
F,9,73,122
G,633,336,1818
H,87,161,666
IH1,4,0,0
IY0,732,683,4710
IY1,760,602,4957
IY2,4,123,152
JH,45,20,93
K,353,477,4866
L,526,481,5732
M,220,827,5613
N,814,565,5542
NG,482,328,3838
OW0,349,239,2223
OW1,417,305,3459
OW2,1,0,0
OY0,21,39,68
OY1,25,30,100
P,342,514,1900
R,105,397,1543
S,265,188,7547
T,798,493,4889
UW0,333,199,2379
UW1,144,295,1340
UW2,30,0,0
V,14,280,334
W,52,64,936
Y,67,91,1343
Z,20,31,33
