,precision,recall,f1-score,support
AA0,0.9153704386288242,0.9253297563156718,0.9203231544619034,13419.0
AA1,0.8657491152182462,0.924187725631769,0.8940144562657354,11911.0
AA2,0.532033426183844,0.30078740157480316,0.3843058350100604,635.0
AW0,0.9545454545454546,0.6176470588235294,0.75,34.0
AW1,0.8819875776397516,0.7357512953367875,0.8022598870056498,193.0
AY0,0.8525641025641025,0.7368421052631579,0.7904903417533432,361.0
AY1,0.884020618556701,0.9245283018867925,0.9038208168642952,1113.0
B,0.8848570849381715,0.8915441176470589,0.8881880150574829,4896.0
D,0.6624815361890695,0.6229166666666667,0.6420901932712957,1440.0
EH0,0.8105625717566016,0.7377220480668757,0.7724288840262582,957.0
EH1,0.7351648351648352,0.8300248138957816,0.7797202797202797,806.0
ER0,1.0,0.24,0.3870967741935484,25.0
EY1,1.0,0.030303030303030304,0.058823529411764705,33.0
F,0.6,0.24770642201834864,0.35064935064935066,109.0
G,0.7401574803149606,0.6861313868613139,0.7121212121212122,1644.0
H,0.8109090909090909,0.7470686767169179,0.7776809067131648,597.0
IH1,0.0,0.0,0.0,0.0
IY0,0.8253624756546202,0.8223372143165157,0.8238470677178961,4638.0
IY1,0.7940026075619296,0.8624317216265426,0.8268037238169124,4943.0
IY2,0.9696969696969697,0.2302158273381295,0.37209302325581395,139.0
JH,0.5585585585585585,0.7380952380952381,0.6358974358974359,84.0
K,0.866266609515645,0.8862091646568735,0.8761244174704671,4561.0
L,0.9256455057270433,0.8824727003516565,0.9035436801212811,5403.0
M,0.9033636870470173,0.9020226387084802,0.9026926648096565,5389.0
N,0.8390607101947308,0.8784729162502498,0.8583146177131139,5003.0
NG,0.9079497907949791,0.8989229494614748,0.9034138218151541,3621.0
OW0,0.8912844036697247,0.8908757450710684,0.8910800275166246,2181.0
OW1,0.8558438085049479,0.9318578916715201,0.8922347692736652,3434.0
OY0,0.9777777777777777,0.6567164179104478,0.7857142857142857,67.0
OY1,0.6267605633802817,0.8725490196078431,0.7295081967213115,102.0
P,0.712832108535896,0.6955322669608384,0.7040759352317141,1813.0
R,0.9267515923566879,0.7126530612244898,0.8057221965851408,1225.0
S,0.9709580838323353,0.9353908278050187,0.9528426619656236,6934.0
SH,0.0,0.0,0.0,0.0
T,0.8262302284710018,0.8296933598058681,0.827958172812328,4533.0
UW0,0.8668758404303003,0.848990342405619,0.8578398758039477,2278.0
UW1,0.8417884780739467,0.7394259818731118,0.7872939284278246,1324.0
UW2,0.0,0.0,0.0,0.0
V,0.7640449438202247,0.2537313432835821,0.38095238095238093,268.0
W,0.9757085020242915,0.8387470997679815,0.9020586400499064,862.0
Y,0.92003046458492,0.9035153328347045,0.9116981132075471,1337.0
Z,0.0,0.0,0.0,30.0
accuracy,0.8681946675886193,0.8681946675886193,0.8681946675886193,0.8681946675886193
macro avg,0.7589808819719877,0.6526035682865656,0.6748981731763184,98342.0
weighted avg,0.8687019587674446,0.8681946675886193,0.8665059272282084,98342.0
